,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
395,F-11,F-11,2.8,2.0,7.8,2.0,"Discover a spacious 1750 sqft 2 bedroom flat with attached bath, TV lounge, and kitchen in F-11 Conveniently located near main road, market, mall of Islamabad, and hospital. Available for sale"" *About interior* The flat should be airy and well-ventilated This home is reflect good vibes, and well-ventilated is ideal for living. Dwellers stay happy and healthy in this well-ventilated home where ample sunlight comes in and air flows well. Good ventilation is important for several reasons. It helps in controlling the lingering moisture inside the home and keeps the floors, ceilings, walls and the furniture dry. Proper airflow can remove the bad odor from the house and help keep the house smelling fresh. The design of the interiors is Ergonomic design and well utilized space are two of the most important aspects this house. A well-designed interior built with ergonomic design, with good space utilization in this House help to make the rooms more spacious. The material used in construction is of good quality This well-constructed flat desired by many, because one this is one time renting property . The height of the ceilings should be between 11-14 feet. The ceiling height nowadays is built between 10-12 feet. The reason behind this is that the rooms look spacious and one can keep the false ceilings without making the rooms look congested. With high ceilings, a room can look more capacious. The living rooms have enough space for dining table & sofa placement The kitchen is one of the most important spaces of a house, so it should have enough space for keeping the kitchen essentials & cooking stoves easily. Quality fittings is used Quality fittings are used by any the developer. Good taps, shower fittings, bathroom fittings and locks are used in this House Moreover, good fittings are add a touch of oomph to the interiors and make the property look exclusive. So feel free to contact us for this flat",0,1.0,3.0,2.0,15.0,1.0,1.0,1.0,0.358974358974359,Modern Era,Lower Floors,High Rise,Dual Setup
400,F-11,F-11,3.25,2.0,6.4,2.0,"F-11 2 Bedroom Apartment With Good Rental Income Available For Urgent Sale Detail Please Contact F-11 Markaz is perfect to own a home as it is surrounded by all kinds of facilities. If you want to buy this property for setting up your very own real estate space, then please heed our words, and book it on the double. You can look everywhere but a price of PKR Rs. 32500000 for this kind of property is the best you will find. A Flat like this does not pop up too often. So, take our word and avail this once in a lifetime offer. If you are looking for property in Islamabad you don't want to miss the opportunity to buy this. You can enjoy a comfortable life in the 1450 Square Feet sized property which is currently available. What more we can say about it is given below. Snuggle with your coffee and enjoy your winter evenings with central heating in the Flat that keeps it warm. The Flat has facilities for the differently-abled that helps them to navigate the space easily. This Flat has a beautiful Jamiah mosque located at walking distance from it. A luxurious drawing room like this will surely inspire awe in your guests. A well-designed powder room in the residence adds to its luxury. Double-glazed windows in your Flat can help reduce energy costs. A central lounge area that comes with this property makes it easy for everyone to hang in one place and enjoy family time. For further information, you can fill out the contact form.",0,1.0,1.0,1.0,9.0,0.0,2.0,1.0,0.5078125,Future,Ground/First Floor,Mid Rise Core,Single/None
407,Al-Ghurair Giga,Al-Ghurair Giga,1.5,3.0,7.3,3.0,"Apartment for Sale Block-15, Defence Residency, DHA Phase 2, Islamabad A spacious and well-maintained 3-bedroom apartment is available for sale in Block-15, Defence Residency, DHA Phase 2, Islamabad. This 1650 sq. ft apartment offers a comfortable and modern living experience in one of the most sought-after locations in the city. Accommodation & Features: 3 Bedrooms with Attached Bathrooms Spacious TV Lounge & Sitting Area Open Kitchen with Modern Fixtures Store Room for Extra Storage Laundry Area for Added Convenience Large Balcony with Scenic Views Nearby Landmarks & Amenities: Mosques within Walking Distance Commercial Areas for Shopping & Daily Needs Reputable Schools for Quality Education Easy Access to G. T Road Close to Giga Mall for Shopping & Entertainment Facilities & Security: 24/7 Electricity & Water Supply High-Speed Elevators (24/7 Operational) Secure & Gated Community with 24/7 Security Dedicated Under-Roof Car Parking Family-Friendly Environment This apartment is ideal for families looking for a comfortable and secure home in DHA Phase 2, Islamabad. Dont miss out on this excellent opportunity!",0,2.0,5.0,2.0,8.0,,1.0,1.0,0.20547945205479454,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
408,E-11,E-11,1.1,1.0,3.8,1.0,"One Bed Luxury Furnished Apartment Available For Sale In E 11 /4 Makkah Tower One Bed Luxurious Furnished With Attached Washroom Coming Rent 80 Thousand Size 850 Squre Fit 8th Floor With Car Parking Located Near Margalla Road Security Guards Available 24 Hours CCTV Cameras Available Near To Mart Easy Eccess To Main Margalla Road Near To Hospitals, Schools, Parks, Joging Tracks Incomin Rent 75000",0,4.0,6.0,2.0,10.0,1.0,1.0,1.0,0.2894736842105263,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
412,Capital Heights,G-11,3.6,2.0,7.2,2.0,"This property comes with numerous features you'll scarcely find in any other 1630 Square Feet sized property. This property in Capital Heights brings you what you need. You can look everywhere but a price of PKR Rs. 36000000 for this kind of property is the best you will find. Living in Flat in Islamabad is an indication of a lavish lifestyle. Buy your dream property now and just put a dot on the worries related to the searching because we have one for you like this. Islamabad is best for living as well as investment, so make a move before the market inches further up. You can read the property features below. The service elevators in the building are used to transport goods and luggage for every resident. For the ultimate luxury experience, the property also has a sauna for a healthier and relaxed state of body and mind. The apartment building provides an inviting ambiance with its spacious lobby and reception area. With kids play near the Flat you can safely send them for play. The Flat is well-planned to include a prayer room so that the ladies can peacefully offer their five daily prayers. Hidden from view, you'll love the drawing room of this Flat to decorate as you want for your guests. You don't have to worry about soaring temperatures anymore with central air-conditioning that comes with the Flat. Your dream life may only be a call away, so contact us to book an appointment.",0,1.0,2.0,4.0,12.0,,,,0.5,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
413,The Arch,G-11,4.3,4.0,10.0,3.0,3Bed 4bath D/D TVL Kitchen Front Facing,1,1.0,4.0,1.0,13.0,,1.0,,0.43,Recently Built,Lower Floors,High Rise,Single/None
414,Warda Hamna Residencia 3,G-11,3.55,2.0,7.6,2.0,"Corner Thread Floor Flat Is Available For Sale In Warda Hamna Residencia 3 G -11/3 Islamabad 2 Bedroom With Attached Bath TV Lounge Kitchen Drawing Dining 1 Carparking Space Ideal And Peace Full Location Near By Park, Masjid, School, Hospital, Market, More Details Please Contact Us",0,1.0,1.0,1.0,8.0,2.0,1.0,,0.46710526315789475,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
416,Executive Heights,F-11,3.4,2.0,6.4,2.0,Ground Floor 2Bed room 2bath room TV lounge Kitchen 3 Split AC Basement car Parking Fully tiles Flooring,0,1.0,4.0,1.0,8.0,2.0,1.0,2.0,0.53125,Modern Era,Lower Floors,Mid Rise Core,Single/None
417,El Cielo,GT Road,1.1,2.0,4.2,2.0,"2-Bedroom Apartment for Sale Defence Residency, DHA Phase 2, El-Cielo Tower-B Accommodation: Size: 944 Sq. Ft 2 Bedrooms with Attached Baths Spacious TV Lounge & Sitting Area Open Kitchen Store Room Balcony Amenities: 24/7 Electricity 24/7 Lifts 24/7 Security 24/7 Water Supply Prime Location: Near Mosque Near School Near Park Near Commercial Area Near Giga Mall Walking Distance to G. T. Road",0,2.0,10.0,2.0,10.0,2.0,1.0,1.0,0.2619047619047619,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
418,Executive Apartments,DHA Phase 2,0.85,1.0,3.5,1.0,"This is one bedroom with Attached Bathrooms, TV Lounge and Kitchen. No Issue Of Electricity, Water And Gas Connections (Cylinder provided by Management). Covered Area 792sqFt. Ready to live and already rented 30000P. m All Facilities are available: Lift Elevator Service Available With 24 7 with Electricity Power Backup Security Services 24 7 Gated Community 2 Family Parks Water Filtration Plant On Walking Distance Masjid On Walking Distance Commercial area On Walking Distance Imtiaz Mart Punjab Cash & Carry (20,000 Grocery Items) Carry fort ( Over 30,000 Items ) World Trade Center (Carry fort, National And International Brands, Gloria Jeans, Food Court Etc) APS School, Roots Ivy University Etc For More Information Please Call on",0,1.0,1.0,5.0,1.0,,,,0.24285714285714285,Recently Built,Ground/First Floor,Ground/Flat,High-Capacity
422,Soan Garden,Soan Garden,0.65,2.0,3.6,2.0,2 Bedroom Family Flat For Sale Soan hight II 815 SQ FT All Facilities GAS & ELECTRICITY Sperat Meter Water supply Available Demand 65lac Mian Markz soan garden Islamabad,0,1.0,1.0,1.0,4.0,,1.0,,0.18055555555555555,Modern Era,Ground/First Floor,Lower Levels,Single/None
428,Gulberg Residencia,Gulberg Residencia,0.8,1.0,3.4,1.0,Guberg Residencia Elanza Mall 1 Bed Corner Apartment For Sale Elazna Mall Located at 3-Side Corner Main Road Facing Location. Good Rental Value Neat And Clean Building,1,1.0,1.0,1.0,5.0,0.0,,,0.23529411764705885,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
429,G-11,G-11,2.9,2.0,6.5,2.0,G-11/3 Capital Height Brand New Flat Available For Sale Investor Price 2 Bedroom TV Lounge Kitchen,1,1.0,2.0,4.0,9.0,,,,0.4461538461538461,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
430,F-11,F-11,2.75,2.0,7.1,2.0,"2 Spacious Bedrooms 2 Modern Bathrooms TV Lounge | Kitchen | Fully Furnished Elevators Installed Underground Car Parking Tuck Shop &Amp; Mosque Within Premises Family-Oriented Residential Building Gas &Amp; Electricity With Separate Meters A Perfect Home In A Peaceful, Secure Environment. For Price &Amp; Visit Details: Realtor Expert Pvt. Ltd. , F-11 Markaz",0,1.0,1.0,1.0,9.0,0.0,,0.0,0.38732394366197187,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
433,Silver Oaks Apartments,F-10,6.0,2.0,6.4,2.0,Silver Oaks F-10 Corner Two Side 2 bedroom Apartment Available for Sale beautiful location Size 1450 SQ. ft 2 bed with bath Tv lounge kitchen beautiful view More option Available beautiful location,0,1.0,8.0,4.0,10.0,1.0,1.0,1.0,0.9375,Modern Era,Mid-Level,Mid Rise Core,Multiple Bank
440,Mall of Islamabad,Blue Area,7.5,2.0,7.1,2.0,"2 Bedroom Fully furnished Apartment Demand: PKR 7,5000,000/- incomingRent 3lac 75 thousand. Resident And His Family Will Enjoy Facilities. Health Facilities Includes. Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked In International Ranking World Famous Architects",0,2.0,18.0,5.0,22.0,,1.0,1.0,1.0563380281690142,Brand New (2025),High-Rise,High Rise,High-Capacity
452,Skypark One,Gulberg Greens,3.25,3.0,7.6,2.0,"LandExperts presents a beautifully designed 2-bedroom luxury apartment for sale in Skypark One, located at the entrance of Gulberg Greens Islamabad. This modern apartment offers top-tier facilities and a lifestyle of comfort and convenience. 2 spacious bedrooms with attached baths Modern open kitchen and wide lounge area Balcony with Margalla Hills view High-quality fixtures and finishing Dedicated car parking space Central lifts, security, and concierge service Skypark One is a CDA-approved, mixed-use high-rise featuring: Rooftop swimming pool and jogging track Gym, spa, restaurant, and kids play area Operating food court and commercial floors 24/7 security and maintenance Prime Location: Located on Gulberg Expressway walking distance from entrance Excellent rental potential and ideal for families or investors Demand: Rs. 32500000/- For visit or more info: LandExperts View Contact Detail",0,1.0,5.0,1.0,8.0,,1.0,0.0,0.4276315789473684,Recently Built,Lower Floors,Mid Rise Core,Single/None
458,DHA Phase 5,DHA Phase 5,3.99,5.0,12.0,4.0,اسلام و علیکم و رحمت اللہ و برکاتہ۔۔۔ 4bed 5bath store DD servant underground parking safe and secure investment v good rental and apriciaton value ideal time to buy contact for sale purchase in DHA ISLAMABAD LAHORE RAWALPINDI Col ASIF MEHMOOD,0,2.0,5.0,2.0,8.0,1.0,2.0,1.0,0.3325,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
461,PAF Tarnol,PAF Tarnol,1.85,3.0,6.4,2.0,"2 Rooms beautiful flat available for sale in FALCON ALPHA BLOCK FAZAIA TARNOL. * Three lifts in block. * Independent Parking place for each Flat. * Best view place. * In surrounding lush green park. * Near to School, Hospital, commercial area and Mosque *All facilities are available in Fazaia Housing society e-g Water supply and Boring, electricity, Sui gas SNGPL, School, Medical service ,Internet service, Garbage disposal systems, Sports Complex, Club, Golf course etc. Golden opportunity to purchase a flat highly neat and clean environment. * 1 Room flat of approx 900 sqr yds area also available. *** PLZ CONTACT LUQMAN ESTATE FAZAIA TARNOL FOR SALE AND PURCHASE OF PLOTS, HOUSES, AND FLAT OR ANY INFORMATION, GUIDANCE OR HELP REGARDING FAZAIA SCHEMES ALL OVER PAKISTAN. NOTE, We also have 1,2 and 3 Rooms Flats, 10 marla and 1 kanal houses and plots.",0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,0.2890625,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
