,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Servant Quarters,Kitchens,Store Rooms,Storey Unit,Property era
1503,Top City 1,4.8,5.0,10.0,5.0,"All categories Plots Available at Top city in best Market Rates. Kanal 10 Marla 5 Marla Corner, Parkface Commercial and Residential Briqs Developer And Marketing Offer A Prime Location Residential Plot In Top City 1 Islamabad 5 Marla 10 Marla and Kanal Also Commercial in All Catergries. The ideal location of TopCity-1 near Kashmir Highway, is one of its most attractive features. Although the housing society is located at a 20-minute drive from downtown G 11 Markaz Islamabad, it can be easily accessed through Kashmir Highway, Lahore and Islamabad Motorways and Grand Trunk Road. The new Islamabad International Airport is also situated at a distance of approximately 3 kilometers from TopCity-1. That means it will take residents just 5 minutes to reach the airport through New Islamabad Airport Road. It is also connected by a grand and an exclusive Interchange making a Loop on Kashmir Highway giving direct access to residents in TopCity-1. The under development public transit metro bus service connects TopCity-1 through two terminals while the International CPEC City is located at a short distance.",True,False,False,True,1,1.0,2.0,1.0,2.0,Recently Built
1504,Naval Anchorage,2.45,5.0,5.0,4.0,"On a solid land , an artistically designed and solid constructed house is available for sale",False,False,False,False,1,2.0,,,3.0,Brand New (2025)
1505,DHA Phase 1,14.0,7.0,22.0,7.0,"- Triple Story House With Special Proper Basement, Ground & First - Imported Accessories Installed - High Classic Wood Used in Doors - Top Nosh Finishing - Designer House 22 Marla - Solid Construction *****Ground Floor and First Floor******* Bed rooms . 7 Drawing room. 1 Dinning room. 1 Lounges. . . 3. (GF&FF Basement) Kitchens. . . . 3. (GF&FF Basement) Study/ gym. 2 Bathrooms. . . . 8 courtyard. 2 Laundry/utility room. . . 2 Store. . . 2 Terraces. . . 1",False,False,False,False,0,2.0,2.0,1.0,3.0,Recently Built
1506,Top City 1,4.35,5.0,10.0,5.0,"Top City A block Very ideal Location Brand New double Story A Grade Construction Quality House is available for Sale. This stunning 10 Marla house is a masterpiece of modern architecture, boasting sleek designs, spacious rooms, and top-notch finishes. for more information feel free to contact with us",False,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
1507,Top City 1,4.25,5.0,10.0,5.0,"Top City D block Very ideal Location Brand New double Story A Grade Construction Quality House is available for Sale. This stunning 10 Marla house is a masterpiece of modern architecture, boasting sleek designs, spacious rooms, and top-notch finishes. for more information feel free to contact with us",False,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
1508,Top City 1,4.0,5.0,10.0,5.0,"Top City A block Very ideal Location Near Park Brand New double Story A Grade Construction Quality House is available for Sale. This stunning 10 Marla house is a masterpiece of modern architecture, boasting sleek designs, spacious rooms, and top-notch finishes. for more information feel free to contact with us",False,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
1509,DHA Phase 2,9.5,6.0,20.0,6.0,Brandnew cheapest kanal designer house for sale DHA Phase 2 Sector A Kanal Brand New House 6 bedroom Double unit 9.50 crore demand,False,False,False,False,1,,2.0,,2.0,Brand New (2025)
1513,F-17,3.25,6.0,7.0,6.0,"8 Marla Double Unit House Available. For Sale in F-17 T&T Islamabad. House Size 30*60. 6 Bedrooms. 7 Baths. 2 Drawing Dining. 2 TV Lounge. 2 Kitchen. 2 Car Parking. Electricity ,Water and Gas Available. All Facilities Available. Interested People Can Contact Easily.",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1514,Bhara kahu,1.5,6.0,7.0,6.0,7 Marla Double Story Corner House Sale in bhara Kahu 4 bedrooms 2 drawing Rooms 6 Attched Bathrooms 1 car parking Electricity +Water Available location =Seri Chowk Bhara Kahu Islamabad,False,False,False,True,1,,2.0,,2.0,Brand New (2025)
1515,Top City 1,4.9,5.0,10.0,5.0,"5 Bedrooms | 5 Bathrooms 2 TV Lounges 2 Drawing & Dining Rooms 2 Modern Kitchens 1 Servant Quarter Green Lawn | Double Road Water Boring + Supply Electricity Meter Installed Prime Location: Near Motorway, Near Kashmir Highway, schools, parks, hospitals, markets & masjid. Contact now for more details!",True,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1517,Mumtaz City,3.2,5.0,7.0,4.0,"Islamabad Property Solutions Offer A Prime Location Luxury Full House Is Available For Sale 04 Bedroom With Attach Bath Gas Meter Restored 2 Drawing Dining 2 Tv Lounge 2 Kitchen 1 Car parking Space Fully Tile Flooring Near By Park, Masjid, School, Hospital, Market, And Srinagar Highway Ideal And Peace Full location Nice House Wide streets Nearby commercial and public parks with kids play area. This House is in one of the most leading and Emerging sector of Islamabad. Fully Tille Flooring All Facilities Are Available More Details Please Contact us And Arrange Visit",True,False,False,False,0,2.0,2.0,1.0,2.0,Modern Era
1518,G-13,7.1,7.0,7.0,5.0,"*""Modern meets classical* Rooted in tradition, built for today this Neo-classical residential elevation blends historic charm with modern living. It's where architectural heritage meets modern comfort, creating a space that feels both familiar and forward-thinking. *Features:* 1- Most ideal location in G-13/2 2- Sun face (Pindi face) 2- Neo-Classical Elevation 3- 8 Marla (30x60) 4- Double unit house 5- 40 feet wide street 6- Nearest to the park, masjid and market 7- 400 feet down Water boring is available as well as water supply facility. 8- Good quality material has been used 9- 60 grade Ittehad steel 10- RCC foundation and Plinth Beam 11- Solid wooden doors (Yellow pine) 12- A+ Grade tiles (size: 2x4) 13- Super & High gloss sheets for kitchens and wardrobes 14- Best quality sanitary fittings (Faisal) 15-GM cable 16- Nippon Wall Putty and Paint 17- Pak Altech Aluminium 18- Heavy gauge Double side Main gate 19- Inverter Fans 20- Closest to the Sirinagar highway 21-Rental value 2 lacs *About the Property:* *Ground Floor* Drawing Room 2 Bedrooms With Attached Bath TV Lounge Kitchen Loundary Area 2 cars parking *First floor* Drawing Room 3 Bedrooms With Attached Bath Kitchen TV Lounge *Roof Top* 1 Bed Room Washroom Laundry *For contact",False,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1519,D-12,4.75,3.0,4.5,3.0,"Abdullah Property & Builders Pvt. Ltd proudly presents a 4.5-Marla house for sale in Sector D-12/1 Markaz Islamabad. Dont miss this rare opportunity, ideal for families and investors alike. Location: Prime location in Sector D-12/1 Markaz, Islamabad Size: 4.5 Marla Dimension: 25/40 Bedrooms: 3 (with attached baths) Kitchen: Open-style Italian kitchen Parking: Spacious car porch Utilities: Water & electricity meters installed Demand: PKR 4.75 Crore Property Highlights: Modern luxury design with premium construction Spacious bedrooms with attached baths Located in the heart of D-12 Markaz a highly sought-after area Surrounded by schools, markets, and all major facilities Ideal for families seeking comfort & convenience Ideal for families or investors seeking high value returns For Details & Visit Contact: Abdullah Property & Builders Pvt. Ltd. Your Trusted Real Estate Partner in Islamabad For More Details View Contact Detail , View Contact Detail , View Contact Detail",True,False,False,False,1,,2.0,,2.0,Brand New (2025)
1520,Bahria Enclave,4.4,6.0,10.0,5.0,"10 Marla House Available for Sale Spacious and modern double-storey house located in a prime residential area. The house is well-designed with stylish interiors and high-quality finishes, perfect for a comfortable family lifestyle. 5 Bedrooms with attached baths Spacious TV lounge & drawing room Modern kitchen with cabinets Car parking space Terrace & lawn area Electricity, gas & water available Secure and peaceful neighborhood Ideal opportunity for investment or personal living. Prime Location Near to schools, parks, commercial market & mosque.",True,False,False,False,0,1.0,2.0,2.0,2.0,Brand New (2025)
1521,Bahria Town,2.4,4.0,5.0,3.0,"Brand New 5 Marla House Park Facing Prime Location Property Overview: A beautifully constructed brand new 5 Marla house available in a prime location. This modern home is perfect for families seeking comfort, style, and convenience with a park right in front for a refreshing view and outdoor space. House Features: 3 Spacious Bedrooms with Attached Bathrooms Modern Kitchen with elegant fittings TV Lounge & Living Area Servant Room with Attached Bath Drawing / Dining Area Beautiful Front Elevation High-Quality Tile Flooring & Woodwork Ample Car Parking Space Park Facing Location Ideal for families and children Additional Highlights: Brand new construction never used before Peaceful and secure neighborhood Close to markets, schools, mosques, and main roads Contact: For visit and more details, please call or WhatsApp. A perfect combination of elegance, comfort, and location Brand New 5 Marla Park Facing House available now!",True,False,False,False,0,1.0,1.0,,2.0,Brand New (2025)
1524,DHA Valley,1.45,4.0,8.0,3.0,"DHA Valley Islamabad Phase 7 Block: DHA Homes Size: 8 Marla Property Features: 3 Bedrooms 3 Bathrooms Drawing & Dining Room Store Room Beautiful Kitchen Servant Room with Attached Bath Location: Situated on a DHA Phase 6, easy access from Kallar Syedan Road, only 4 km from Rawalpindi rawat Ideal for living or investment Peaceful and fully developed area Ready-to-move house Contact: DHA Authorized Agent MH Real Estate Group",False,False,False,False,0,,,,,Recently Built
1525,F-7,23.0,5.0,22.0,5.0,533 Square Yard Triple Story House Very Good Condition Having 5 Bedrooms With Attached Washroom Drawing And Dining Room TV Lounge Kitchen Sun Face Closed Street Prime Location Near To F -7 Markaz Easy Access From Nazimudin Road,True,False,False,False,0,2.0,2.0,1.0,3.0,Modern Era
1527,F-7,55.0,6.0,46.0,7.0,"House is available for sale in prime location of Islamabad MOST SOUGHT-AFTER LOCATION, 7 Bedrooms, 2 Drawing/Dining, 2 Powder Rooms, 2 TV Lounges, 2 Kitchens with Dirty Kitchens 2 Servant Quarters, 4 Store Rooms, Laundry Areas, Ample Car Parking, CDA Transfer,",True,False,False,False,1,,,,,Recently Built
1528,DHA Phase 2,11.5,6.0,20.0,6.0,Sector H 6 bedroom 7 Bathroom 2 TV lounge 2 Drawing room 2 servant quarter 2 Kitchen Parking space for 3 cars Call now for more info For visit contact,False,False,False,False,0,2.0,2.0,2.0,2.0,Brand New (2025)
1529,Naval Anchorage,15.0,7.0,40.0,9.0,"2-Kanal Bungalow for Sale Naval Anchorage Islamabad Property Highlights: 9 Spacious Bedrooms with Attached Baths Modern Kitchen & Living Spaces Beautiful Lawn & Car Parking Space Solid Construction Prime Location Naval Anchorage: CDA Approved & Boundary Wall Society Wide Carpeted Roads (up to 160 ft Boulevard) 24/7 Water, Electricity & Gas Availability Schools, Masjid, Parks & Commercial Zones Fully Gated & Secure Environment Ideal for Investment or Residence Note: Picture is not original ___________________________ NOTE: Investment option available in 5 Marla Non-Possession Plot for Sale in Gulberg Green, Islamabad Prime Investment Opportunity Reasonable Price Best Time to Buy Bulk Options Available for Investors Possession Expected Within 5 To 6 Months High Future Appreciation Price Set to Rise Soon",True,False,False,False,0,1.0,,,1.0,Brand New (2025)
1530,Bahria Garden City,8.5,5.0,28.0,5.0,"- 70 Percent Work Done - Real Pictures Attached . . . . Garden City Zone 1 - Inter Wood Doors Ready For Install - Size 30 Marla , Very Prime Street - Front Back Lawn - Direct Meeting With Owner - Contact Us For Visit Any Time Or More Information &Amp; Options - We Are Dealing In Bahria Garden City",False,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
1531,D-12,26.5,6.0,20.0,9.0,"BEAUTIFUL LOCATION BRAND NEW HOUSE FOR SALE With all the facilities you are looking for in a property, a price of PKR Rs. 250000000 is a great deal. This House available for sale is perfect for investment purposes. Residential properties in D-12 are plenty and you'll find a good price if you start looking today. In 20 Marla you're getting a house with all kinds of amenities so make a move to buy it today. Purchase your property today to secure your future. You will find current market rates quite attractive in D-12. Know more about the property with the details given below. In summers, the community swimming pool can be a blessing for the building residents. For the ultimate luxury experience, the property also has a sauna for a healthier and relaxed state of body and mind. Enjoy a luxurious lifestyle with fast broadband internet access among other facilities. Now you can throw barbeque parties with ease with a dedicated barbeque area that comes with the House. Differently-abled people will find this House easy to navigate, as it is developed to incorporate their needs. For religious queries and to offer prayers, you will find a mosque near the House within walking distance. As a resident, you don't have to worry about waste disposal as that is effectively taken care of. Our contact information is available for you to take action today.",False,False,False,False,0,1.0,2.0,1.0,3.0,Brand New (2025)
